City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
408,melfi,40.9965,15.6514,30.83,29,6,1.76,IT,1720336404
409,acapulco de juarez,16.8634,-99.8901,27.9,83,75,2.06,MX,1720336404
410,kavieng,-2.5744,150.7967,28.07,77,100,6.25,PG,1720336405
411,beidao,34.5686,105.8933,21.53,91,100,0.09,CN,1720336405
412,puerto baquerizo moreno,-0.9,-89.6,20.59,87,23,4.73,EC,1720336405
413,sekong,-6.3996,106.0252,31.25,57,29,0.67,ID,1720336405
414,mount pearl,47.5166,-52.7813,15.25,89,100,0.89,CA,1720336266
415,yenangyaung,20.4667,94.8833,36.47,41,92,6.46,MM,1720336405
416,potosi,-19.5836,-65.7531,3.61,29,0,2.84,BO,1720336406
417,susuman,62.7833,148.1667,10.66,89,100,2.47,RU,1720336406
418,tazacorte,28.629,-17.9293,20.54,91,75,5.14,ES,1720336406
419,imam sahib,37.189,68.9364,37.92,10,0,3.41,AF,1720336406
420,rio grande,-32.035,-52.0986,0.53,75,4,2.22,BR,1720336406
421,walvis bay,-22.9575,14.5053,12.83,82,75,3.09,NA,1720336406
422,suzun,53.7841,82.3116,26.89,54,100,1.21,RU,1720336407
423,kosh-agach,50.0,88.6667,17.62,53,68,4.28,RU,1720336407
424,akrehamn,59.2667,5.1833,12.45,82,75,9.77,NO,1720336407
425,coari,-4.085,-63.1414,23.14,78,99,0.98,BR,1720336407
426,lagos,6.5833,3.75,25.18,90,100,1.64,NG,1720335886
427,laizhou,37.1717,119.9214,31.15,60,100,1.94,CN,1720336407
428,tucumcari,35.1717,-103.725,21.91,56,0,3.09,US,1720336408
429,bel ombre,-4.6167,55.4167,27.91,89,40,3.09,SC,1720336408
430,geraldton,-28.7667,114.6,20.23,64,100,4.63,AU,1720336408
431,beitbridge,-22.2167,30.0,15.88,17,0,1.38,ZW,1720336408
432,el calafate,-50.3408,-72.2768,-2.75,79,13,1.11,AR,1720336408
433,andergrove,-21.0833,149.1833,21.47,79,47,8.25,AU,1720336408
434,trashi yangtse,27.6116,91.498,25.03,74,100,2.42,BT,1720336409
435,mount gambier,-37.8333,140.7667,12.53,62,1,3.35,AU,1720336308
436,berezovyy,51.6667,135.7,13.56,89,100,2.28,RU,1720336409
437,zhangye,38.9342,100.4517,28.72,26,100,2.87,CN,1720336409
438,sechura,-5.5569,-80.8222,18.7,86,100,5.74,PE,1720336409
439,arroio grande,-32.2375,-53.0869,2.6,93,0,1.94,BR,1720336409
440,alotau,-10.3069,150.4462,24.23,81,55,3.35,PG,1720336410
441,arroyo,41.6096,-4.7969,14.02,76,0,5.14,ES,1720336410
442,santa cruz,-17.8,-63.1667,16.7,36,75,4.63,BO,1720336163
443,nizhneangarsk,55.7833,109.55,18.14,71,57,0.83,RU,1720336410
444,griffith,41.5284,-87.4237,19.6,83,0,0.0,US,1720336410
445,duba,27.3513,35.6901,31.45,61,10,4.78,SA,1720336410
446,i-n-salah,27.1935,2.4607,36.11,12,7,3.27,DZ,1720336411
447,arraial do cabo,-22.9661,-42.0278,19.92,87,0,2.8,BR,1720336411
448,senigallia,43.7093,13.2167,27.79,55,75,2.57,IT,1720336411
449,el granada,37.5027,-122.4694,20.27,85,20,6.17,US,1720336411
450,homestead meadows north,31.8496,-106.1729,28.25,42,0,4.12,US,1720336411
451,vorkuta,67.5,64.0,21.73,53,100,5.14,RU,1720336412
452,nizao,18.25,-70.2,27.42,88,100,2.38,DO,1720336412
453,la'ie,21.6477,-157.9253,25.56,76,84,3.13,US,1720336296
454,launceston,-41.45,147.1667,9.08,81,100,0.0,AU,1720336238
455,wewak,-3.5534,143.6268,27.58,82,100,0.47,PG,1720336412
456,chattanooga,35.0456,-85.3097,23.86,84,100,1.17,US,1720336243
457,pisco,-13.7,-76.2167,14.03,94,85,1.03,PE,1720336413
458,arteaga,18.4667,-102.4167,20.35,97,100,0.96,MX,1720336413
459,zuni pueblo,35.0725,-108.8506,11.35,17,0,1.26,US,1720336413
460,bobo-dioulasso,11.1771,-4.2979,22.25,94,40,2.57,BF,1720336413
461,kirakira,-10.4544,161.9205,25.31,89,100,3.6,SB,1720336413
462,platnirovskaya,45.3953,39.3842,31.62,41,100,5.92,RU,1720336413
463,ahvaz,31.3203,48.6693,38.97,19,0,2.06,IR,1720336414
464,bandundu,-3.3167,17.3667,25.79,53,18,2.94,CD,1720336414
465,pudozh,61.8099,36.5345,20.44,52,49,4.65,RU,1720336414
466,wamba,8.9333,8.6,24.15,86,100,0.25,NG,1720336414
467,rongelap,11.1635,166.8941,28.68,76,6,7.88,MH,1720336414
468,masterton,-40.9597,175.6575,6.6,91,1,1.78,NZ,1720336415
469,konarka,19.9,86.1167,31.22,66,100,5.51,IN,1720336415
470,harnosand,62.6323,17.9379,14.0,97,100,1.77,SE,1720336415
471,ola,59.5833,151.2833,12.29,89,100,2.56,RU,1720336415
472,anaconda,46.1285,-112.9423,17.55,65,84,1.23,US,1720336415
473,soe,-9.8607,124.284,25.87,53,33,3.69,ID,1720336416
474,hyesan,41.4017,128.1778,19.88,92,85,0.66,KP,1720336416
475,pizarro,4.9533,-77.366,25.53,88,98,1.22,CO,1720336416
476,choibalsan,48.0667,114.5,31.86,27,100,1.43,MN,1720336416
477,puerto rico,-26.796,-55.024,10.98,100,75,0.42,AR,1720336365
478,nikolayevsk-on-amure,53.1406,140.73,12.43,95,100,1.76,RU,1720336416
479,saint-hippolyte,42.7833,2.9667,19.66,67,0,4.63,FR,1720336417
480,bardai,11.65,7.2333,23.49,82,100,3.55,NG,1720336417
481,palmer,42.1584,-72.3287,24.35,80,100,0.0,US,1720336417
482,massenya,11.4039,16.1705,25.21,69,100,4.32,TD,1720336417
483,okahandja,-21.9833,16.9167,14.23,29,0,3.2,NA,1720336417
484,tazovsky,67.4667,78.7,14.58,62,28,6.65,RU,1720336383
485,aykhal,66.0,111.5,21.7,59,100,7.14,RU,1720336401
486,amungan,15.3652,119.9582,29.94,73,59,2.99,PH,1720336418
487,usogorsk,63.4106,48.6872,21.24,42,0,3.56,RU,1720336418
488,nsanje,-16.92,35.262,22.12,46,0,1.52,MW,1720336418
489,berdigestyakh,62.0989,126.6992,24.61,31,40,1.56,RU,1720336418
490,magadi,12.9667,77.2333,28.09,68,100,6.38,IN,1720336418
491,lake havasu city,34.4839,-114.3224,39.34,23,0,3.13,US,1720336401
492,petawawa,45.9001,-77.3328,16.99,95,0,1.58,CA,1720336419
493,yanam,16.7333,82.2167,26.23,87,100,2.68,IN,1720336419
494,pangai,-19.8,-174.35,22.5,64,98,10.92,TO,1720336419
495,as sulayyil,20.4607,45.5779,39.14,6,91,2.92,SA,1720336419
496,champerico,14.3,-91.9167,25.04,83,84,3.7,GT,1720336419
497,ayr,55.4627,-4.6339,13.06,76,40,2.57,GB,1720336420
498,inhambane,-23.865,35.3833,20.23,57,0,2.0,MZ,1720336420
499,arkhangel'sk,64.5401,40.5433,20.06,60,20,5.0,RU,1720336420
500,belebey,54.1167,54.1167,26.19,63,10,3.5,RU,1720336420
501,nakamura,32.9833,132.9333,33.93,50,8,2.35,JP,1720336420
502,havre,49.5833,0.3333,13.87,77,20,5.66,FR,1720336420
503,novooleksiyivka,46.2269,34.6428,29.63,37,80,5.95,UA,1720336421
504,seydi,39.4816,62.9137,36.52,19,0,6.88,TM,1720336421
505,concepcion del uruguay,-32.4825,-58.2372,2.28,81,9,2.66,AR,1720336421
506,mezhdurechenskiy,59.6,65.9333,24.65,39,56,3.16,RU,1720336421
507,lyantor,61.6195,72.1555,21.12,42,14,6.42,RU,1720336422
508,banff,51.1762,-115.5698,11.21,62,6,0.0,CA,1720336422
509,nogliki,51.8333,143.1667,11.2,92,100,4.28,RU,1720336422
510,gaspe,48.8334,-64.4819,17.12,100,75,1.03,CA,1720336422
511,penzance,50.1186,-5.5371,14.38,81,88,7.07,GB,1720336422
512,kuqa,41.7278,82.9364,30.58,16,0,2.08,CN,1720336422
513,zhanaozen,43.3,52.8,37.11,15,1,2.96,KZ,1720336423
514,zhuhai,22.2769,113.5678,32.88,79,40,3.6,CN,1720336423
515,nizhnesortymskiy,62.4397,71.7603,21.46,39,12,5.02,RU,1720336423
516,zayed city,24.3768,54.589,42.08,12,0,2.57,AE,1720336423
517,sodra sandby,56.5667,16.6167,16.61,71,97,8.41,SE,1720336423
518,port sudan,19.6175,37.2164,36.93,39,100,3.98,SD,1720336423
519,daru,-9.0763,143.2092,25.18,84,100,8.04,PG,1720336424
520,aridaia,40.9731,22.0564,28.92,39,0,1.73,GR,1720336424
521,glace bay,46.1969,-59.957,19.32,98,100,4.12,CA,1720336424
522,senador jose porfirio,-2.5908,-51.9542,23.04,85,10,1.08,BR,1720336424
523,dalbandin,28.8947,64.4101,38.27,8,0,2.6,PK,1720336424
524,newton,42.337,-71.2092,24.22,91,0,3.6,US,1720336424
525,tyukhtet,56.5389,89.3011,23.97,75,99,2.39,RU,1720336425
526,salvador,13.8333,-88.9167,21.14,100,100,1.29,SV,1720336425
527,pamekasan,-7.1568,113.4746,31.59,100,45,3.57,ID,1720336425
528,severnoye,56.3491,78.3619,18.94,76,100,6.01,RU,1720336425
529,mossel bay,-34.1831,22.146,15.96,57,100,6.92,ZA,1720336425
530,hami,42.8,93.45,30.16,29,100,9.27,CN,1720336426
531,pandan,14.0453,124.1694,28.18,83,98,4.17,PH,1720336426
532,crane,31.3974,-102.3501,25.53,54,2,5.91,US,1720336426
533,santa ana,33.7456,-117.8678,22.01,88,75,2.06,US,1720336426
534,midelt,32.6852,-4.7451,19.64,39,0,3.06,MA,1720336426
535,kanniyakumari,8.0833,77.5667,33.25,69,99,9.1,IN,1720336426
536,luau,-10.7073,22.2247,19.29,24,4,2.02,AO,1720336427
537,sepuka,-4.75,34.5333,22.09,51,100,3.36,TZ,1720336427
538,leskovac,42.9981,21.9461,26.77,45,0,0.73,RS,1720336427
539,severo-yeniseyskiy,60.3725,93.0408,24.56,45,55,3.24,RU,1720336427
540,uitenhage,-33.7576,25.3971,18.77,26,0,3.87,ZA,1720336427
541,les sables-d'olonne,46.6667,-1.8333,15.44,68,100,4.52,FR,1720336427
542,malyye derbety,47.9547,44.6808,35.4,26,87,4.03,RU,1720336428
543,kidal,18.4411,1.4078,32.23,34,82,6.85,ML,1720336428
544,kirkwall,58.9848,-2.9587,10.03,93,75,6.69,GB,1720336428
545,siparia,10.1333,-61.5,25.08,92,51,4.15,TT,1720336428
